⺀	冫
⺄	乙
⺅	亻
⺆	冂
⺈	𠂊
⺉	刂
⺊	卜
⺋	㔾
⺌	小
⺍	𭕄
⺏	尣
⺓	幺
⺕	彐
⺖	忄
⺗	㣺
⺘	扌
⺛	旡
⺝	月
⺡	氵
⺣	灬
⺤	爫
⺥	爫
⺦	丬
⺧	𠂒
⺨	犭
⺩	𤣩
⺪	𤴔
⺫	罒
⺬	示
⺭	礻
⺮	𥫗
⺯	糹
⺰	纟
⺱	罓
⺲	𦉰
⺳	㓁
⺴	㓁
⺵	𦉫
⺶	羊
⺷	𦍌
⺸	𦍋
⺻	聿
⺼	月
⺾	艹
⺿	艹
⻀	艹
⻁	虎
⻂	衤
⻃	覀
⻄	西
⻆	角
⻈	讠
⻊	𧾷
⻌	辶
⻎	辶
⻐	钅
⻑	長
⻗	雨
⻙	韦
⻝	食
⻞	𩙿
⻟	飠
⻠	饣
⻣	骨
⻤	鬼
⻬	齐
⼜	又
⼹	彐
⽂	文
⽅	方
⽉	月
⽋	欠
⽍	歹
⽎	殳
⽗	父
⽠	瓜
⽤	用
⽰	示
⽱	禸
⽳	穴
⽻	羽
⾆	舌
⾈	舟
⾌	虍
⾐	衣
⾒	見
⾛	走
⾠	辰
⾣	酉
⾧	長
⾩	阜
⾮	非
⾱	韋
⾳	音
⾵	風
⾷	食
⿀	鬲
⿁	鬼
⿅	鹿
⿆	麥
⿌	黽
⿍	鼎
⿐	鼻
⿓	龍
⿔	龜
更	更
龜	龜
龜	龜
契	契
蘿	蘿
裸	裸
落	落
亂	亂
欄	欄
藍	藍
朗	朗
蘆	蘆
虜	虜
菉	菉
錄	錄
鹿	鹿
聾	聾
淚	淚
陋	陋
凌	凌
稜	稜
菱	菱
讀	讀
寧	寧
便	便
復	復
不	不
葉	葉
說	說
殺	殺
若	若
旅	旅
麗	麗
練	練
蓮	蓮
連	連
鍊	鍊
說	說
廉	廉
簾	簾
令	令
怜	怜
鈴	鈴
料	料
蓼	蓼
遼	遼
龍	龍
類	類
陸	陸
隆	隆
吏	吏
履	履
易	易
離	離
吝	吝
璘	璘
藺	藺
麟	麟
糖	糖
暴	暴
降	降
見	見
晴	晴
凞	凞
益	益
礼	礼
靖	靖
精	精
羽	羽
逸	逸
飯	飯
飼	飼
館	館
鶴	鶴
郞	郞
隷	隷
免	免
喝	喝
悔	悔
懲	懲
漢	漢
突	突
謹	謹
頻	頻
並	並
况	况
侀	侀
充	充
冀	冀
勇	勇
喝	喝
啕	啕
喙	喙
塚	塚
墳	墳
奄	奄
奔	奔
婢	婢
嬨	嬨
廒	廒
廙	廙
彩	彩
徭	徭
惘	惘
慎	慎
愈	愈
憎	憎
慠	慠
懲	懲
戴	戴
揄	揄
搜	搜
摒	摒
敖	敖
朗	朗
望	望
杖	杖
歹	歹
殺	殺
滋	滋
瀞	瀞
瞧	瞧
爵	爵
犯	犯
瑱	瑱
甆	甆
瘝	瘝
瘟	瘟
盛	盛
睊	睊
着	着
磌	磌
窱	窱
类	类
絛	絛
練	練
缾	缾
荒	荒
蝹	蝹
襁	襁
覆	覆
視	視
調	調
諸	諸
請	請
謁	謁
諾	諾
諭	諭
謹	謹
變	變
贈	贈
輸	輸
遲	遲
醙	醙
鉶	鉶
陼	陼
難	難
靖	靖
韛	韛
響	響
頋	頋
頻	頻
龜	龜
𢡊	𢡊
𣏕	𣏕
䀘	䀘
䀹	鿃
𥉉	𥉉
𥳐	𥳐
𧻓	𧻓
齃	齃
龎	龎
